feature,mean_abs_shap
contract,0.4392043825667631
risk_score,0.12487203497650544
satisfaction_per_complaint,0.12330576971035721
has_tech_support,0.08546528386436003
customer_satisfaction,0.08049505323901393
has_no_support_svc,0.06578197394860409
has_online_security,0.063343155210366
num_services,0.057638766911494575
services_x_charges,0.051162722457019215
num_service_calls,0.03714527329611421
late_payments,0.03386345756100757
loyalty_score,0.029724939903804027
svc_calls_div_tenure,0.02824678891758616
late_pay_div_tenure,0.027422664411426486
monthlycharges,0.021640509526662667
value_score,0.010899389059104593
avg_spend_per_svc,0.0070223354098670285
is_low_sat,0.006483712511304336
digital_score,0.005898137040874105
payment_risk,0.005675286505070497
satisfaction_x_tenure,0.004222981762744596
charges_x_tenure,0.004215934502771592
totalcharges_div_tenure,0.0036482703298354982
complaint_freq_annual,0.003116441631140831
is_month_to_month,0.0028261802987453472
totalcharges,0.0026867490154489273
tenure,0.0026215704112428776
complaints_div_tenure,0.002231146922337968
total_active_services,0.0015017748942999904
num_complaints,0.0002484370470520581
charge_group,0.00014118320323014923
is_premium,9.768945073368408e-05
has_internet_service,0.0
clv,0.0
is_high_value,0.0
is_long_term,0.0
has_late_payment,0.0
is_high_risk,0.0
tenure_group,0.0
