Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,BalAcc,Train(s)
StackingEnsemble@th=0.6,0.77,0.1968,0.4279,0.2696,0.6853,0.2057,0.1712,0.6178,0.0
StackingEnsemble,0.6245,0.158,0.6433,0.2537,0.6853,0.2057,0.1619,0.6328,201.8
VotingEnsemble,0.6333,0.1598,0.6335,0.2553,0.6852,0.2055,0.1632,0.6333,88.1
Tuned_HistGB,0.6291,0.1587,0.6365,0.2541,0.6852,0.2053,0.1618,0.6324,0.0
HistGB,0.629,0.1588,0.6372,0.2542,0.6851,0.2055,0.162,0.6326,20.6
LightGBM,0.6396,0.1606,0.6226,0.2553,0.6833,0.2036,0.1623,0.6321,25.4
XGBoost,0.649,0.1624,0.61,0.2565,0.6823,0.2019,0.1628,0.6317,26.0
